Anime,Recommendation,Agree Votes
10072,4130,0
10072,5521,0
10073,16121,0
10073,11837,0
10073,10792,0
10073,4017,0
10073,9275,0
10073,15098,0
10073,15185,0
10073,9274,0
10073,12498,0
10073,5546,0
10074,10465,1
10074,4822,0
10074,7474,0
10074,16685,0
10074,13473,0
10074,7700,0
10074,10761,0
10074,3687,0
10074,6723,0
10074,6715,0
10076,6151,0
10076,10059,0
10076,196,0
10076,1568,0
10076,5978,0
10076,6054,0
10076,16628,0
10076,1560,0
10076,11384,0
10076,11386,0
10077,14030,0
10077,15076,0
10077,9865,0
10077,9616,0
10077,13914,0
10077,14547,0
10077,14605,0
10077,9778,0
10077,12238,0
10077,8985,0
10078,5008,0
10078,9077,0
10078,16999,0
10078,1216,0
10078,5200,0
10078,1026,0
10078,5190,0
10078,9673,0
10078,303,0
10078,7260,0
10079,10080,0
10079,10082,0
10079,10081,0
10079,14451,0
10079,14450,0
10079,13460,0
10079,10066,0
10079,13486,0
10079,12405,0
10079,15513,0
1008,599,1
1008,1154,1
1008,1275,0
1008,1313,0
1008,4768,0
1008,4929,0
1008,3430,0
1008,8250,0
1008,1867,0
1008,1971,0
10080,10082,0
10080,10081,0
10080,10079,0
10080,14451,0
10080,14450,0
10080,13460,0
10080,10066,0
10080,13486,0
10080,12405,0
10080,15513,0
10081,10080,0
10081,10082,0
10081,10079,0
10081,14451,0
10081,14450,0
10081,13460,0
10081,10066,0
10081,13486,0
10081,12405,0
10081,15513,0
10082,10080,0
10082,10081,0
10082,10079,0
10082,14451,0
10082,14450,0
10082,13460,0
10082,10066,0
10082,13486,0
10082,12405,0
10082,15513,0
10083,12405,0
10083,15513,0
10083,15543,0
10083,14262,0
10083,10848,0
10083,10080,0
10083,10082,0
10083,10081,0
10083,10079,0
10083,3128,0
10085,4468,0
10085,14361,0
10085,3519,0
10085,4341,0
10085,1330,0
10085,2168,0
10085,1828,0
10085,987,0
10085,690,0
10085,7887,0
10086,10506,0
10086,14916,0
10086,10718,0
10086,10842,0
10086,10964,0
10086,4610,0
10086,14939,0
10086,10351,0
10086,10823,0
10086,13413,0
10088,15532,0
10088,16569,0
10088,15321,0
10088,10785,0
10088,15352,0
10088,15430,0
10088,16628,0
10088,15736,0
10088,5897,0
10088,13520,0
10089,3078,1
10089,10090,0
10089,2994,0
10089,10248,0
10089,9125,0
10089,5716,0
10089,5288,0
10089,12548,0
10089,12419,0
10089,7345,0
1009,198,2
1009,48,1
1009,197,1
1009,1336,1
1009,1014,1
1009,2469,1
1009,3320,1
1009,8040,0
1009,3325,0
1009,9338,0
10090,10089,0
10090,2994,0
10090,10248,0
10090,9125,0
10090,5288,0
10090,5716,0
10090,12548,0
10090,3078,0
10090,12419,0
10090,6907,0
10093,4959,0
10093,2832,0
10093,1898,0
10093,4961,0
10093,1140,0
10093,5208,0
10093,4960,0
10093,1979,0
